experiment,energy_transfert,tr_0,gamma_tr,lambda_temperature_0,gamma_lambda_temperature
REFERENCE,0.1668,10.38,-0.11,0.006667,0.15
BARENTS,0.1703697712720066,11.361868271805044,-0.15388643155270207,0.006980631602285368,0.14055778158916662
PAPA,0.23612043676864497,14.807946591234526,-0.10110709574013019,0.012238763991743326,0.12429061589236855
BISCAY,0.22756719057800712,41.47891957025649,-0.23666745956463825,0.017475082972045926,0.10035576094964663
BATS,0.27238977320662294,101.1646782033447,-0.1837516108851876,0.010639530516930968,0.15361144973785296
CANARY,0.29559949880160663,35.66892781734555,-0.1775206709416135,0.027043255596003662,0.10162454165252917
HOT,0.2254982161488902,42.1289327876263,-0.23925753322690096,0.023530059173072326,0.10524773345676135
MERGED,0.2032469051129688,19.184253014388656,-0.10502040775146435,0.007468565738719089,0.15426274175285554
