experiment,seed,lambda,best_nrmse,stop_gen,cap_hit,energy_transfert,tr_0,gamma_tr,lambda_temperature_0,gamma_lambda_temperature
BARENTS,0,8,1.2048981849290841e-05,135,False,0.16680321442064608,10.380470889776833,-0.11002592820187374,0.006667138686016245,0.14999370535695955
BARENTS,1,8,2.4284333734305656e-05,148,False,0.16680351427260798,10.378527459110227,-0.10991400909361443,0.006667266818549367,0.15000125261123626
BARENTS,2,8,0.0072103024336529,200,False,0.16814202075252632,9.07502218116314,-0.006402984836807651,0.006722634322708129,0.14981490075820042
BARENTS,3,8,0.0075155517287020445,172,False,0.16960491120345056,10.054827501785809,-0.016049144770127866,0.006752591620480279,0.15258119825831112
BARENTS,4,8,6.66236536518972e-06,214,False,0.16680233888674262,10.379787368805133,-0.11001700435666026,0.0066671567302541085,0.1499960076409426
BARENTS,5,8,9.102067396597133e-06,222,False,0.1667974368175152,10.379228562994788,-0.10998538545770062,0.006666842363796363,0.15000816478194173
BARENTS,6,8,1.2577664103921325e-05,164,False,0.16679704922048588,10.379300084455416,-0.1099572092547764,0.006666938376440307,0.1499906944274137
BARENTS,7,8,4.924737900474588e-06,199,False,0.1668005499580762,10.380458108969625,-0.1100494685444619,0.006667084500867645,0.14999682254508317
BARENTS,8,8,0.007210306791359746,137,False,0.1681393216221584,9.454035233471723,-0.0379655561865008,0.006722459255745737,0.14981764515113197
BARENTS,9,8,1.923964116680963e-05,138,False,0.1668026562288884,10.379611562537399,-0.11001773525227784,0.006666779173831176,0.15002515554982415
BARENTS,10,8,1.2437199025492531e-05,152,False,0.1668012048262157,10.380780331382248,-0.11006587067380044,0.006667039367974955,0.1500069728803276
BARENTS,11,8,0.005814242054226308,221,False,0.16516592056747786,10.57621601476837,-0.1657795526451319,0.006620988448607719,0.14807205155860673
BARENTS,12,8,4.453869695637507e-05,180,False,0.1668046164541578,10.379490611487897,-0.10997323884076093,0.006666766036871222,0.15001318468475375
BARENTS,13,8,0.007515549490158675,339,False,0.16960483828011258,10.004341801683198,-0.0012725444148544984,0.006752634132801205,0.1525755410767969
BARENTS,14,8,9.672208163728923e-06,226,False,0.16679609779718677,10.37977262793252,-0.11000483514776921,0.006666788972546054,0.15000354296575552
BARENTS,15,8,0.007820505504223906,182,False,0.1635679348128985,10.793353620091262,-0.2264969621562699,0.0065739846832879876,0.1463899843137287
BARENTS,16,8,0.005230327140337696,187,False,0.16872837901733634,10.177465249809327,-0.051936183114554196,0.006723634057245458,0.1519784052536722
BARENTS,17,8,0.0050604754982690485,159,False,0.16785176316046074,10.261273679920965,-0.07595816397508501,0.0066955095665193285,0.151308896672887
BARENTS,18,8,8.853833998895023e-06,168,False,0.16680192723525916,10.380646136284652,-0.11006009950285872,0.006666956256615249,0.15001099575998153
BARENTS,19,8,1.7657404519531276e-05,190,False,0.16679456138152715,10.380102635703873,-0.11003509498063946,0.006666535695150768,0.15001912850487764
PAPA,0,8,4.105381919230437e-05,236,False,0.16679745688854147,10.379901556625418,-0.10999923258528457,0.006666534710825175,0.15000972570451143
PAPA,1,8,0.01267206576600599,215,False,0.16028923081012866,18.341690881070033,-0.19638271973359,0.006392250160850943,0.15015980586841968
PAPA,2,8,0.00953204741955687,238,False,0.16818983612352073,4.435582973755917,-0.034654209102192635,0.006805045702215468,0.1487093153211454
PAPA,3,8,0.014401275136704448,187,False,0.15997319400545298,29.383763195560114,-0.23811718046320934,0.006329773229224798,0.15099395232272433
PAPA,4,8,0.013137535298946394,214,False,0.1601239159343528,20.709420256308977,-0.20714169192738585,0.00637283418122941,0.15038599757602528
PAPA,5,8,3.490971308851136e-05,225,False,0.16682680029337044,10.379837156127405,-0.10999865397960337,0.0066689568686923075,0.14998813525218974
PAPA,6,8,0.014290558399453585,229,False,0.1599802742868722,27.903331240764665,-0.2335683607665102,0.006335623010666141,0.15089645939102347
PAPA,7,8,0.012673374928217277,274,False,0.16023384924748152,18.336069710393893,-0.19635556535885998,0.0063862521722501545,0.15022660597712975
PAPA,8,8,0.00022534242283454476,198,False,0.16681644967053458,10.377881612059817,-0.10998198551641195,0.0066663525981386475,0.1500136457291992
PAPA,9,8,0.01489511105719884,168,False,0.16005573061238518,33.18202182903776,-0.24892105106864082,0.0062965127592293215,0.1515432372687585
PAPA,10,8,0.012471344264851298,150,False,0.16043260188361025,15.771640091037092,-0.18301172972476287,0.006414760022118661,0.14988990789150836
PAPA,11,8,0.0002493637793224386,290,False,0.16669497908790237,10.37687787492738,-0.10997353132891427,0.006662641843301081,0.15000855821070536
PAPA,12,8,0.012673845761132146,198,False,0.16018308903522052,18.34816186745021,-0.19641572327135984,0.0063880983259877585,0.15017573897184383
PAPA,13,8,0.013142010352823459,267,False,0.16025076360014254,20.59223714867456,-0.20663934727592875,0.006373468178064852,0.15045190440147663
PAPA,14,8,0.012672418331864353,214,False,0.16011842674311141,18.458703739297672,-0.1969528350686478,0.006385541831093682,0.150167859727347
PAPA,15,8,0.0001228467574215148,226,False,0.16669141654646139,10.379907446846717,-0.10999922093924594,0.0066615238463547406,0.15002234396045105
PAPA,16,8,0.009530845285480547,219,False,0.1683497315802333,4.77987664756401,-0.041278966744942136,0.006807092921870574,0.14877356925172625
PAPA,17,8,0.009038132319298337,214,False,0.16816341809065988,6.036180620636745,-0.06195887613295967,0.006800679112680987,0.14875648943325037
PAPA,18,8,0.013096145129503061,161,False,0.16027410885358867,20.121367183674895,-0.20458905604697586,0.006384962848873345,0.15029078415645264
PAPA,19,8,0.012670393475779678,205,False,0.16031010401446033,18.45257771729973,-0.19691657087975736,0.006399293113031092,0.1500736094233409
Bay_of_Biscay,0,8,1.846418550085687e-05,264,False,0.16679642926959273,10.381570060611393,-0.11000832432878122,0.00666530913267829,0.15001810001462887
Bay_of_Biscay,1,8,1.3504451990742597e-05,235,False,0.166792625036772,10.387218302304722,-0.11004569044823578,0.0066663280964807895,0.150005130744946
Bay_of_Biscay,2,8,0.003465733120910423,359,False,0.16750846500493716,3.8406015347129228,-0.043584825841118946,0.006722653104604235,0.14968578598706064
Bay_of_Biscay,3,8,0.00952863825548612,241,False,0.166734722322596,6.019772232632856,-0.062188304423011515,0.0066555408172647105,0.15004572035992947
Bay_of_Biscay,4,8,0.0034657487905278687,227,False,0.16750687612899468,5.16473401895918,-0.06337124845716857,0.006722533203664434,0.14968717782074561
Bay_of_Biscay,5,8,1.4289381336911895e-05,333,False,0.16680045183413864,10.384649938007136,-0.11002816678160365,0.00666808459334687,0.1499882388097582
Bay_of_Biscay,6,8,0.009004551060626509,450,False,0.16626636355822938,3.0616333835779463,-0.0018019669707418362,0.00663256330973577,0.1501390892273139
Bay_of_Biscay,7,8,1.905554711821667e-05,292,False,0.16681132327826392,10.385611855550952,-0.11003560794257572,0.006667914548675251,0.14999360977518542
Bay_of_Biscay,8,8,0.006409017778360186,188,False,0.16634836516243373,2.635237764716498,-0.01847672859765087,0.006632488019300319,0.15005699159826086
Bay_of_Biscay,9,8,0.01580113801269369,256,False,0.16833949511018578,48.20773569092068,-0.24606615784629998,0.006989557014142134,0.14723355794431972
Bay_of_Biscay,10,8,0.015294231053775385,182,False,0.16816044712366493,28.865675645164504,-0.20062479728486976,0.006893243488515557,0.1481934588242085
Bay_of_Biscay,11,8,0.01589973630227325,219,False,0.16827637408092364,50.393189906717495,-0.2499999180874256,0.00698999659240709,0.14720201523404536
Bay_of_Biscay,12,8,1.55665385853578e-05,300,False,0.16678520897004492,10.383929867300514,-0.11002521951916827,0.0066661380600244085,0.15000336533819275
Bay_of_Biscay,13,8,0.015867378479270663,231,False,0.16828994867925912,49.955700353206964,-0.24920668894266193,0.00698950420727912,0.14721267256551301
Bay_of_Biscay,14,8,0.015549424166451576,213,False,0.16843139974684165,38.03322958743419,-0.22507148358474757,0.006964931498204646,0.14753285372552738
Bay_of_Biscay,15,8,0.015314639359044825,194,False,0.16809286111491561,27.433303490332992,-0.19610378716287358,0.006885218419882789,0.1482390266856559
Bay_of_Biscay,16,8,0.0011356661618960665,341,False,0.16679501123830526,10.396109024594432,-0.11012242572259415,0.006666023573842211,0.15000965495539462
Bay_of_Biscay,17,8,0.005319645663711091,280,False,0.16828536373172104,2.039910252311624,-0.0013219950677192116,0.006879782960136368,0.14828432218981696
Bay_of_Biscay,18,8,0.00346573411619115,270,False,0.1675117689913005,8.635851445345267,-0.09771120370989367,0.006722691394643471,0.14968703040757309
Bay_of_Biscay,19,8,0.015330622920092523,213,False,0.16831220872849195,34.104331622482505,-0.21541286176791258,0.006928395413838954,0.14787538070368905
BATS,0,8,1.0129400255147743e-05,251,False,0.1668123493769758,31.32979223626162,-0.16193187148481628,0.0066672031951043025,0.15000253607200553
BATS,1,8,6.322821457044004e-06,280,False,0.1667985305278851,27.669827960900225,-0.15609147458497585,0.0066664059249452335,0.15000443895438076
BATS,2,8,1.5768992692674822e-05,233,False,0.16678981082012476,30.78364244658798,-0.16110573840495157,0.006667073725081507,0.14999553404598087
BATS,3,8,0.021102341186443076,344,False,0.1661896851851576,59.822645395195096,-0.20024365254285673,0.006666048405698015,0.1497804448133036
BATS,4,8,0.014034367736489391,334,False,0.16601129441948992,2.6322753812182786,-0.038256464842827465,0.00655003034478375,0.1507109437520291
BATS,5,8,0.025035140647480005,372,False,0.1704745470696159,105.45518259010849,-0.2350646911835705,0.006089498044061502,0.1561424273959483
BATS,6,8,0.028247853313316557,279,False,0.18047294069047887,201.91696085633313,-0.2495282332838786,0.007214636774955205,0.15000318589439657
BATS,7,8,0.008504337235007684,366,False,0.1609459977102647,20.55512855117969,-0.14192411714376152,0.006287658382691501,0.1510910208008365
BATS,8,8,1.754771552939043e-05,220,False,0.16680235627852286,30.09189777146981,-0.1600356171472716,0.006665605726130477,0.15001237151108893
