family,metric,station,param,S1,S1_conf,ST,ST_conf
raw,argmax,BARENTS,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,BARENTS,gamma_lambda_temperature,0.0017830251166872195,0.0036084012164730654,0.01956380696951866,0.005881591346898787
raw,argmax,BARENTS,gamma_tr,0.006036247374371471,0.015957638072408256,0.22543992300739654,0.020471398088185846
raw,argmax,BARENTS,lambda_temperature_0,0.03488571468923898,0.010683600030935722,0.1382760553503172,0.012617030062216091
raw,argmax,BARENTS,tr_0,0.7245387082340768,0.02948113500471072,0.9599872535532287,0.021212848330508443
raw,argmax,BATS,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,BATS,gamma_lambda_temperature,0.004765508246176605,0.005539659364093757,0.04122715985592963,0.011396186434956527
raw,argmax,BATS,gamma_tr,0.6000134316485375,0.03792741933823608,0.8487743205318485,0.04027971423993072
raw,argmax,BATS,lambda_temperature_0,0.002683358117198565,0.0035899219141539503,0.01604890032275452,0.008209939577990868
raw,argmax,BATS,tr_0,0.1358445835195574,0.020063128818235517,0.401152778217314,0.02939565682601665
raw,argmax,Bay_of_Biscay,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,Bay_of_Biscay,gamma_lambda_temperature,0.023902093492037056,0.009802676296285125,0.0727145329327024,0.01779333669677216
raw,argmax,Bay_of_Biscay,gamma_tr,0.3875720779189648,0.03127585274554537,0.7462463367258763,0.027633548594184636
raw,argmax,Bay_of_Biscay,lambda_temperature_0,0.029976605887410687,0.015122031795185524,0.14297253191489726,0.030797598946584945
raw,argmax,Bay_of_Biscay,tr_0,0.18829271034152792,0.020047197842953727,0.528924670535386,0.038073228624101174
raw,argmax,Canaries,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,Canaries,gamma_lambda_temperature,0.007695749695355128,0.009681513922349876,0.07447119488595297,0.018370649309773637
raw,argmax,Canaries,gamma_tr,0.5386030780838345,0.03686178430783776,0.8051920260755572,0.03433269026791346
raw,argmax,Canaries,lambda_temperature_0,0.008131060088828239,0.00966077063564928,0.04964983128132465,0.014364825831644864
raw,argmax,Canaries,tr_0,0.15863348712545336,0.01957271553605112,0.40411164626452145,0.02368753915630417
raw,argmax,HOT,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,HOT,gamma_lambda_temperature,0.008252043820216732,0.020174562582725486,0.4504884012603819,0.02953737751313153
raw,argmax,HOT,gamma_tr,0.09816890567663321,0.029018722957400944,0.8181245237310178,0.03570624951819865
raw,argmax,HOT,lambda_temperature_0,0.03692640491913268,0.021696097972379022,0.435326050508901,0.03139135706657838
raw,argmax,HOT,tr_0,0.027956435980964905,0.02331661124567167,0.6825425235162855,0.03366634148961684
raw,argmax,PAPA,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,PAPA,gamma_lambda_temperature,0.009016771178967275,0.014246811241456173,0.22834271006075632,0.01460191298869064
raw,argmax,PAPA,gamma_tr,0.1777047382170112,0.02777623048060302,0.7919210897868671,0.024517985965598482
raw,argmax,PAPA,lambda_temperature_0,0.03594000100097135,0.017752566693028552,0.30335240804486086,0.019089891147257485
raw,argmax,PAPA,tr_0,0.1079915995044138,0.0247813917334429,0.7356565245565055,0.02250501106887793
raw,mean,BARENTS,energy_transfert,0.09159291193895205,0.013895616908401189,0.32429723570638963,0.046952110756398845
raw,mean,BARENTS,gamma_lambda_temperature,0.0018463452816326804,0.0022538416949869342,0.008561922654642744,0.0010513245516007076
raw,mean,BARENTS,gamma_tr,0.00033427687543793064,0.0006326768141043708,0.000612406727235461,0.00014712391221686529
raw,mean,BARENTS,lambda_temperature_0,0.6761195977885909,0.08539706447457816,0.9097022664766609,0.06859891405141444
raw,mean,BARENTS,tr_0,0.0011603993727552831,0.0016147289442090416,0.005600870417734446,0.0015053680950898238
raw,mean,BATS,energy_transfert,0.033467354412822434,0.019267667539970064,0.2895292852195561,0.09985138082988504
raw,mean,BATS,gamma_lambda_temperature,0.12895274272839335,0.05109785511925248,0.6049100266394083,0.14701626706793267
raw,mean,BATS,gamma_tr,-3.806071083114335e-05,0.000326411207761257,0.00029933592587533204,9.966317515617998e-05
raw,mean,BATS,lambda_temperature_0,0.27349409235921285,0.08822637626988637,0.7974328668258117,0.14873322715431117
raw,mean,BATS,tr_0,1.105065088399141e-05,0.00016200069998280182,0.00014006901768989484,6.665415228251172e-05
raw,mean,Bay_of_Biscay,energy_transfert,0.03999027643249546,0.017890654699231855,0.29082356956538186,0.07571276159368942
raw,mean,Bay_of_Biscay,gamma_lambda_temperature,0.08771603998398074,0.03426882509205831,0.4560428376954008,0.10378063884487762
raw,mean,Bay_of_Biscay,gamma_tr,4.313152920748431e-05,0.0002944534507856685,0.00017396225038550153,6.0381613999343546e-05
raw,mean,Bay_of_Biscay,lambda_temperature_0,0.38342781049027663,0.09024923831814283,0.8461707754845085,0.13093257567807087
raw,mean,Bay_of_Biscay,tr_0,7.064844835515905e-05,0.000216072685910092,0.00012288720753431064,4.826463501451827e-05
raw,mean,Canaries,energy_transfert,0.033712561343690564,0.02022740357981338,0.2890165481230467,0.10233546543503505
raw,mean,Canaries,gamma_lambda_temperature,0.11553499129395263,0.04384764888050293,0.5741768094250947,0.13603671778658946
raw,mean,Canaries,gamma_tr,-9.693375692483015e-06,9.406755508800477e-05,5.447700318366865e-05,3.601139387735061e-05
raw,mean,Canaries,lambda_temperature_0,0.2970900309481443,0.07591674066044277,0.8140616553381979,0.12674741939525652
raw,mean,Canaries,tr_0,4.099893314046918e-05,8.583764586773219e-05,3.436279085352903e-05,3.108349257982213e-05
raw,mean,HOT,energy_transfert,0.029711663534036255,0.020069075387283853,0.2870013046200329,0.08942297178307816
