experiment,seed,evaluations,best_nrmse
BARENTS,0,8,0.657306122899907
BARENTS,0,16,0.657306122899907
BARENTS,0,24,0.657306122899907
BARENTS,0,32,0.31780061734300796
BARENTS,0,40,0.31780061734300796
BARENTS,0,48,0.31780061734300796
BARENTS,0,56,0.15240348872527945
BARENTS,0,64,0.15240348872527945
BARENTS,0,72,0.15240348872527945
BARENTS,0,80,0.15240348872527945
BARENTS,0,88,0.15240348872527945
BARENTS,0,96,0.15240348872527945
BARENTS,0,104,0.15240348872527945
BARENTS,0,112,0.15240348872527945
BARENTS,0,120,0.15240348872527945
BARENTS,0,128,0.15240348872527945
BARENTS,0,136,0.15240348872527945
BARENTS,0,144,0.15240348872527945
BARENTS,0,152,0.15240348872527945
BARENTS,0,160,0.15240348872527945
BARENTS,0,168,0.15240348872527945
BARENTS,0,176,0.15240348872527945
BARENTS,0,184,0.15240348872527945
BARENTS,0,192,0.15240348872527945
BARENTS,0,200,0.15240348872527945
BARENTS,0,208,0.15240348872527945
BARENTS,0,216,0.15240348872527945
BARENTS,0,224,0.10938291888742516
BARENTS,0,240,0.08966676893949395
BARENTS,0,248,0.08966676893949395
BARENTS,0,256,0.08966676893949395
BARENTS,0,264,0.06611527899957141
BARENTS,0,280,0.06611527899957141
BARENTS,0,288,0.06611527899957141
BARENTS,0,304,0.06611527899957141
BARENTS,0,312,0.06611527899957141
BARENTS,0,328,0.06611527899957141
BARENTS,0,344,0.03755357201496188
BARENTS,0,360,0.03755357201496188
BARENTS,0,368,0.03755357201496188
BARENTS,0,384,0.03755357201496188
BARENTS,0,400,0.03755357201496188
BARENTS,0,424,0.03755357201496188
BARENTS,0,440,0.03755357201496188
BARENTS,0,456,0.03755357201496188
BARENTS,0,480,0.027468733659810844
BARENTS,0,496,0.021860037978138895
BARENTS,0,520,0.01770378312069502
BARENTS,0,536,0.016112971007539504
BARENTS,0,560,0.009216575373104175
BARENTS,0,584,0.009216575373104175
BARENTS,0,608,0.005057298875813431
BARENTS,0,640,0.0029968480533806062
BARENTS,0,664,0.0029968480533806062
BARENTS,0,688,0.0029968480533806062
BARENTS,0,720,0.0017416932952118405
BARENTS,0,752,0.0010795387926488924
BARENTS,0,784,0.0010795387926488924
BARENTS,0,816,0.0008809146701724067
BARENTS,0,848,0.00041298529312946346
BARENTS,0,888,0.00031463969517204804
BARENTS,0,920,0.0002707037434606498
BARENTS,0,960,9.119241193529794e-05
BARENTS,0,1000,3.8493952264744535e-05
BARENTS,0,1040,3.8493952264744535e-05
BARENTS,0,1088,1.2048981849290841e-05
BARENTS,1,8,0.8351706974886791
BARENTS,1,16,0.7836662775252
BARENTS,1,24,0.688726542134909
BARENTS,1,32,0.3376344389408061
BARENTS,1,40,0.3376344389408061
BARENTS,1,48,0.3376344389408061
BARENTS,1,56,0.3376344389408061
BARENTS,1,64,0.3376344389408061
BARENTS,1,72,0.28179842776638686
BARENTS,1,80,0.28179842776638686
BARENTS,1,88,0.28179842776638686
BARENTS,1,96,0.28179842776638686
BARENTS,1,104,0.28179842776638686
BARENTS,1,112,0.28179842776638686
BARENTS,1,120,0.28179842776638686
BARENTS,1,128,0.28179842776638686
BARENTS,1,136,0.28179842776638686
BARENTS,1,144,0.28179842776638686
BARENTS,1,152,0.28179842776638686
BARENTS,1,160,0.2785113696968539
BARENTS,1,168,0.22725803805439698
BARENTS,1,176,0.22725803805439698
BARENTS,1,184,0.22725803805439698
BARENTS,1,192,0.22725803805439698
BARENTS,1,200,0.22725803805439698
BARENTS,1,216,0.22725803805439698
BARENTS,1,224,0.22725803805439698
BARENTS,1,232,0.15174196204546295
BARENTS,1,240,0.14026936796925193
BARENTS,1,248,0.12399416435636249
BARENTS,1,264,0.12399416435636249
BARENTS,1,272,0.12399416435636249
BARENTS,1,288,0.12399416435636249
BARENTS,1,296,0.12399416435636249
BARENTS,1,312,0.12399416435636249
BARENTS,1,320,0.12399416435636249
BARENTS,1,336,0.10560997889814154
BARENTS,1,352,0.03997086027895585
BARENTS,1,368,0.03997086027895585
BARENTS,1,384,0.03997086027895585
BARENTS,1,400,0.03997086027895585
BARENTS,1,416,0.03997086027895585
BARENTS,1,432,0.015036545189641825
BARENTS,1,456,0.015036545189641825
BARENTS,1,472,0.015036545189641825
BARENTS,1,496,0.01499583297217411
BARENTS,1,512,0.008871125155059532
BARENTS,1,536,0.008871125155059532
BARENTS,1,560,0.008871125155059532
BARENTS,1,584,0.007242221987501668
BARENTS,1,608,0.0071611636591032805
BARENTS,1,632,0.006965269973993027
BARENTS,1,664,0.005835096909823404
BARENTS,1,688,0.005595666949156697
BARENTS,1,720,0.0054477203044008445
BARENTS,1,752,0.004936747457749044
BARENTS,1,784,0.0043215153764543015
BARENTS,1,816,0.00404523602665416
BARENTS,1,848,0.002290160908081193
BARENTS,1,888,0.0009709628814174272
BARENTS,1,928,0.0006893285268139444
BARENTS,1,968,0.0005059111925374759
BARENTS,1,1008,0.00019954920859312363
BARENTS,1,1048,4.6369752549912126e-05
BARENTS,1,1096,4.6369752549912126e-05
BARENTS,1,1144,3.0434814003871287e-05
BARENTS,1,1192,2.4284333734305656e-05
BARENTS,10,8,0.6503694113330805
BARENTS,10,16,0.31690477298947956
BARENTS,10,24,0.31690477298947956
BARENTS,10,32,0.31690477298947956
BARENTS,10,40,0.31690477298947956
BARENTS,10,48,0.31690477298947956
BARENTS,10,56,0.31690477298947956
BARENTS,10,64,0.31690477298947956
BARENTS,10,72,0.31690477298947956
BARENTS,10,80,0.31690477298947956
BARENTS,10,88,0.31690477298947956
BARENTS,10,96,0.31690477298947956
BARENTS,10,104,0.31690477298947956
BARENTS,10,112,0.31690477298947956
BARENTS,10,120,0.31690477298947956
BARENTS,10,128,0.31690477298947956
BARENTS,10,136,0.2609411443945584
BARENTS,10,144,0.2609411443945584
BARENTS,10,152,0.18069525121522736
BARENTS,10,160,0.17647405697810634
BARENTS,10,168,0.17647405697810634
BARENTS,10,176,0.16023518953893387
BARENTS,10,184,0.16023518953893387
BARENTS,10,192,0.16023518953893387
BARENTS,10,200,0.16023518953893387
BARENTS,10,208,0.14796588053681756
BARENTS,10,216,0.14796588053681756
BARENTS,10,224,0.14796588053681756
BARENTS,10,232,0.08006083370423121
BARENTS,10,248,0.08006083370423121
BARENTS,10,256,0.0646647630216052
BARENTS,10,264,0.0646647630216052
BARENTS,10,280,0.0646647630216052
BARENTS,10,288,0.0646647630216052
BARENTS,10,304,0.04530244923380294
BARENTS,10,320,0.04530244923380294
BARENTS,10,328,0.04530244923380294
BARENTS,10,344,0.04530244923380294
BARENTS,10,360,0.04530244923380294
BARENTS,10,376,0.031845581048794654
BARENTS,10,392,0.031845581048794654
BARENTS,10,408,0.031845581048794654
BARENTS,10,424,0.031845581048794654
BARENTS,10,440,0.027970911482321923
BARENTS,10,464,0.018870341300764693
BARENTS,10,480,0.018870341300764693
BARENTS,10,504,0.010697184826961876
BARENTS,10,528,0.010697184826961876
BARENTS,10,552,0.008456015482078456
BARENTS,10,568,0.005958998298889845
BARENTS,10,600,0.005958998298889845
BARENTS,10,624,0.005727635943205374
BARENTS,10,648,0.005273844364581687
BARENTS,10,680,0.004901950423164785
BARENTS,10,704,0.004748911535368067
BARENTS,10,736,0.00422791441244241
BARENTS,10,768,0.004134095308919757
BARENTS,10,800,0.0033575346060291254
BARENTS,10,840,0.002646217558085395
BARENTS,10,872,0.002309165994591002
BARENTS,10,912,0.0008068145128185602
BARENTS,10,952,0.0007597850428354902
BARENTS,10,992,0.0005738606752363887
BARENTS,10,1032,0.0004870532975759808
BARENTS,10,1080,0.0002284780048505564
BARENTS,10,1128,7.917621321424486e-05
BARENTS,10,1176,1.9170541448895682e-05
BARENTS,10,1224,1.2437199025492531e-05
BARENTS,11,8,0.4628369692701438
BARENTS,11,16,0.4628369692701438
BARENTS,11,24,0.4628369692701438
BARENTS,11,32,0.4628369692701438
BARENTS,11,40,0.4628369692701438
BARENTS,11,48,0.4191936956039114
