experiment,seed,evaluations,best_nrmse
BARENTS,10,240,0.17735987125175745
BARENTS,10,248,0.17735987125175745
BARENTS,10,264,0.14320571212318492
BARENTS,10,272,0.14320571212318492
BARENTS,10,288,0.14320571212318492
BARENTS,10,296,0.1326632454310953
BARENTS,10,312,0.10037076013976866
BARENTS,10,328,0.10037076013976866
BARENTS,10,336,0.10037076013976866
BARENTS,10,352,0.10037076013976866
BARENTS,10,368,0.08230454277776442
BARENTS,10,384,0.0705114271658866
BARENTS,10,408,0.0705114271658866
BARENTS,10,424,0.0705114271658866
BARENTS,10,440,0.0705114271658866
BARENTS,10,464,0.062093262688447094
BARENTS,10,480,0.04729013285946846
BARENTS,10,504,0.030185203093003692
BARENTS,10,528,0.029414480008742888
BARENTS,10,552,0.02053954283960448
BARENTS,10,576,0.017927420331056054
BARENTS,10,600,0.01693349215756873
BARENTS,10,632,0.015339580021204197
BARENTS,10,656,0.014305205874551937
BARENTS,10,688,0.014194098901383581
BARENTS,10,720,0.012594065820751647
BARENTS,10,752,0.012594065820751647
BARENTS,10,784,0.012594065820751647
BARENTS,10,816,0.012594065820751647
BARENTS,10,856,0.012594065820751647
BARENTS,10,896,0.012484550315126249
BARENTS,10,936,0.01243371244258949
BARENTS,10,976,0.012345665582565245
BARENTS,10,1024,0.012078072650779972
BARENTS,10,1072,0.011882977972329735
BARENTS,10,1120,0.01178422912884302
BARENTS,10,1168,0.011747429085502704
BARENTS,10,1216,0.011669699067343156
BARENTS,10,1272,0.01165774693818489
BARENTS,10,1328,0.011655795420881404
BARENTS,10,1392,0.01165142231943892
BARENTS,10,1456,0.011650948030887806
BARENTS,10,1520,0.011650437611275358
BARENTS,11,8,1.0254379712423647
BARENTS,11,16,1.0254379712423647
BARENTS,11,24,1.0254379712423647
BARENTS,11,32,1.0254379712423647
BARENTS,11,40,1.0254379712423647
BARENTS,11,48,0.9286874954831459
BARENTS,11,56,0.5635411647206676
BARENTS,11,64,0.22580188066639653
BARENTS,11,72,0.22580188066639653
BARENTS,11,80,0.22580188066639653
BARENTS,11,88,0.22580188066639653
BARENTS,11,96,0.22580188066639653
BARENTS,11,104,0.22580188066639653
BARENTS,11,112,0.22580188066639653
BARENTS,11,120,0.22580188066639653
BARENTS,11,128,0.22580188066639653
BARENTS,11,136,0.22580188066639653
BARENTS,11,144,0.22580188066639653
BARENTS,11,152,0.22580188066639653
BARENTS,11,160,0.22580188066639653
BARENTS,11,168,0.22580188066639653
BARENTS,11,176,0.22580188066639653
BARENTS,11,184,0.22580188066639653
BARENTS,11,192,0.22580188066639653
BARENTS,11,200,0.1880952730784969
BARENTS,11,208,0.1880952730784969
BARENTS,11,216,0.1880952730784969
BARENTS,11,224,0.1880952730784969
BARENTS,11,240,0.1880952730784969
BARENTS,11,248,0.1880952730784969
BARENTS,11,256,0.1880952730784969
BARENTS,11,272,0.1880952730784969
BARENTS,11,280,0.1880952730784969
BARENTS,11,296,0.1880952730784969
BARENTS,11,312,0.1880952730784969
BARENTS,11,320,0.1880952730784969
BARENTS,11,336,0.1880952730784969
BARENTS,11,352,0.1880952730784969
BARENTS,11,368,0.1788092223455182
BARENTS,11,384,0.1788092223455182
BARENTS,11,408,0.16757752979603116
BARENTS,11,424,0.16757752979603116
BARENTS,11,448,0.15017889793926384
BARENTS,11,464,0.11960752959731992
BARENTS,11,488,0.10585689125534246
BARENTS,11,512,0.10585689125534246
BARENTS,11,536,0.10458730718240686
BARENTS,11,560,0.10422536243027716
BARENTS,11,584,0.10008967270410192
BARENTS,11,608,0.08953351919026376
BARENTS,11,640,0.0758796691572168
BARENTS,11,664,0.06402624921544312
BARENTS,11,696,0.06025723608937312
BARENTS,11,728,0.030715427323114323
BARENTS,11,760,0.01920012018132135
BARENTS,11,800,0.01920012018132135
BARENTS,11,832,0.018359755446039273
BARENTS,11,872,0.015310619240269843
BARENTS,11,912,0.015005860091110797
BARENTS,11,960,0.014683752377718079
BARENTS,11,1000,0.01462188902438225
BARENTS,11,1048,0.014103448037304818
BARENTS,11,1096,0.0137486331057865
BARENTS,11,1144,0.013655314140466964
BARENTS,11,1200,0.013573749923412311
BARENTS,11,1256,0.013472319898240194
BARENTS,11,1312,0.013412859803292022
BARENTS,11,1376,0.0133999969560862
BARENTS,11,1432,0.013378988999535161
BARENTS,11,1504,0.013374050481183987
BARENTS,11,1568,0.013370615744702781
BARENTS,11,1648,0.013368462484042765
BARENTS,11,1720,0.013368267969611332
BARENTS,12,8,2.107145621371522
BARENTS,12,16,1.9946605373258313
BARENTS,12,24,1.9946605373258313
BARENTS,12,32,1.907442110733503
BARENTS,12,40,1.664119190428833
BARENTS,12,48,1.544552054381146
BARENTS,12,56,1.544552054381146
BARENTS,12,64,0.9884762188638685
BARENTS,12,72,0.9884762188638685
BARENTS,12,80,0.9884762188638685
BARENTS,12,88,0.9884762188638685
BARENTS,12,96,0.9884762188638685
BARENTS,12,104,0.9884762188638685
BARENTS,12,112,0.25547987023130325
BARENTS,12,120,0.25547987023130325
BARENTS,12,128,0.25547987023130325
BARENTS,12,136,0.25547987023130325
BARENTS,12,144,0.25547987023130325
BARENTS,12,152,0.25547987023130325
BARENTS,12,160,0.25547987023130325
BARENTS,12,168,0.25547987023130325
BARENTS,12,176,0.25547987023130325
BARENTS,12,184,0.25547987023130325
BARENTS,12,192,0.25547987023130325
BARENTS,12,200,0.25547987023130325
BARENTS,12,208,0.25547987023130325
BARENTS,12,224,0.25547987023130325
BARENTS,12,232,0.21908571501555124
BARENTS,12,240,0.21908571501555124
BARENTS,12,248,0.21908571501555124
BARENTS,12,264,0.2156958362114488
BARENTS,12,272,0.2156958362114488
BARENTS,12,288,0.2156958362114488
BARENTS,12,296,0.2156958362114488
BARENTS,12,312,0.18807055749206816
BARENTS,12,328,0.18807055749206816
BARENTS,12,344,0.18807055749206816
BARENTS,12,352,0.18807055749206816
BARENTS,12,368,0.152301673807606
BARENTS,12,384,0.152301673807606
BARENTS,12,408,0.152301673807606
BARENTS,12,424,0.13854120587617336
BARENTS,12,440,0.13854120587617336
BARENTS,12,464,0.12063415025077225
BARENTS,12,480,0.12063415025077225
BARENTS,12,504,0.12063415025077225
BARENTS,12,520,0.1146203016400069
BARENTS,12,544,0.09777087046676049
BARENTS,12,568,0.08393082592913428
BARENTS,12,600,0.06000242752009409
BARENTS,12,624,0.04551077501344864
BARENTS,12,648,0.015992240152454727
BARENTS,12,680,0.015992240152454727
BARENTS,12,712,0.01349062915783568
BARENTS,12,736,0.009583038105494018
BARENTS,12,768,0.008093051141476851
BARENTS,12,808,0.00632600134843789
BARENTS,12,840,0.00463831764656107
BARENTS,12,880,0.004009432300683573
BARENTS,12,920,0.0034204398105423394
BARENTS,12,960,0.0020451734481563262
BARENTS,12,1000,0.0017797289548864893
BARENTS,12,1040,0.0016311791422222806
BARENTS,12,1088,0.0011921807380308026
BARENTS,12,1136,0.0009158502085707428
BARENTS,12,1184,0.0009158502085707428
BARENTS,12,1240,0.0009130275545241532
BARENTS,12,1296,0.0009039468119097849
BARENTS,12,1352,0.0009021287829385066
BARENTS,13,8,2.0425615998680438
BARENTS,13,16,1.7203710350345858
BARENTS,13,24,1.3703344372355912
BARENTS,13,32,1.1078039883341395
BARENTS,13,40,1.1078039883341395
BARENTS,13,48,0.9704835395841648
BARENTS,13,56,0.9704835395841648
BARENTS,13,64,0.9704835395841648
BARENTS,13,72,0.9704835395841648
BARENTS,13,80,0.9704835395841648
BARENTS,13,88,0.8747463659648904
BARENTS,13,96,0.8747463659648904
BARENTS,13,104,0.5830646288222937
BARENTS,13,112,0.4521357615863537
BARENTS,13,120,0.4521357615863537
BARENTS,13,128,0.4521357615863537
BARENTS,13,136,0.4521357615863537
BARENTS,13,144,0.4521357615863537
BARENTS,13,152,0.4521357615863537
BARENTS,13,160,0.4521357615863537
BARENTS,13,168,0.4521357615863537
BARENTS,13,176,0.4521357615863537
BARENTS,13,184,0.4521357615863537
BARENTS,13,192,0.4521357615863537
BARENTS,13,200,0.4521357615863537
BARENTS,13,208,0.4521357615863537
BARENTS,13,216,0.4521357615863537
BARENTS,13,224,0.4521357615863537
BARENTS,13,232,0.41057740660167463
BARENTS,13,248,0.41057740660167463
BARENTS,13,256,0.41057740660167463
BARENTS,13,264,0.41057740660167463
BARENTS,13,280,0.41057740660167463
BARENTS,13,288,0.41057740660167463
BARENTS,13,304,0.34383886819963333
BARENTS,13,320,0.34383886819963333
BARENTS,13,328,0.33395648290638724
BARENTS,13,344,0.33395648290638724
BARENTS,13,360,0.3069194384629277
BARENTS,13,376,0.12340374604105488
BARENTS,13,392,0.10149626516664408
BARENTS,13,408,0.07902108855332886
BARENTS,13,432,0.07902108855332886
BARENTS,13,448,0.07902108855332886
BARENTS,13,472,0.07902108855332886
BARENTS,13,488,0.053943879621963474
BARENTS,13,512,0.053943879621963474
BARENTS,13,536,0.0479480079098451
