N,total_sims,ci_reported,ci_raw,delta_reported,converged
256,1792,0.22004734145160829,1.2006217606551284,,False
512,3584,0.1440800028107683,0.7166820056984718,0.05643122206222105,False
1024,7168,0.10798424804850308,0.7157156544834775,0.044808587787957335,False
2048,14336,0.07408938906580748,1.4795375144327765,0.04887955015715517,False
4096,28672,0.050600175321611804,0.8579657218040867,0.02568404615993586,False
8192,57344,0.03621609725945876,0.723966814062757,0.015849746710108192,True
